,food_name,quantity,calories,type,core,carbohydrates(g),fat(g),protein(g)
270,Country Fry Hake Fillets,100 g,159,Non Vegetarian,Fish,5.0,9.3,14.2
271,Tuna In Water (canned),100 g,116,Non Vegetarian,Fish,0.0,0.82,25.51
272,Sushi,1 piece,37,Non Vegetarian,Fish,7.77,0.11,1.12
273,Atlantic Ocean Perch,1 fillet,60,Non Vegetarian,Fish,0.0,1.04,11.92
274,Salted Mackerel,100 g,305,Non Vegetarian,Fish,0.0,25.1,18.5
275,Fish,100 g,84,Non Vegetarian,Fish,0.0,0.92,17.76
276,Haddock (fish),1 fillet,168,Non Vegetarian,Fish,0.0,1.39,36.5
277,Shark (mixed Species),100 g,130,Non Vegetarian,Fish,0.0,4.51,20.98
278,Baked Or Grilled Fish,1 fillet (16 cm x 7.5 cm x 1 cm),142,Non Vegetarian,Fish,0.37,3.89,24.79
279,Fish Curry,1 cup,241,Non Vegetarian,Fish,4.57,11.02,29.76
280,Sardines,1 small (7 cm x 1.5 cm x 0.5 cm),10,Non Vegetarian,Fish,0.0,0.57,1.23
281,Fried Battered Catfish,1 fillet (13 cm x 6.5 cm x 1 cm),182,Non Vegetarian,Fish,5.03,12.8,11.12
282,Baked Or Grilled Pike,1 fillet (16 cm x 9 cm x 1 cm),164,Non Vegetarian,Fish,0.52,4.65,28.56
283,Tilefish,1/2 fillet,185,Non Vegetarian,Fish,0.0,0.85,33.78
284,Marinated Fish (ceviche),1 cup,173,Non Vegetarian,Fish,9.2,1.97,28.75
285,Pickled Fish,100 g,84,Non Vegetarian,Fish,4.2,3.0,11.0
286,"Chum Salmon (drained Solids With Bone, Without Salt, Canned)",1 can,520,Non Vegetarian,Fish,0.0,5.48,79.08
287,Seafood Souffle,1 cup,245,Non Vegetarian,Fish,8.84,15.49,16.89
288,Pumpkin Seed Sunfish,100 g,89,Non Vegetarian,Fish,0.0,0.14,19.4
289,Fried Floured Or Breaded Flounder,1 fillet (17 cm x 10 cm x 1 cm),341,Non Vegetarian,Fish,12.79,17.62,31.15
290,Skipjack Tuna (fish),1/2 fillet,204,Non Vegetarian,Fish,0.0,0.65,43.56
291,Monkfish,100 g,76,Non Vegetarian,Fish,0.0,0.34,14.48
292,Surimi (fish),100 g,99,Non Vegetarian,Fish,6.85,0.9,15.18
293,Rainbow Smelt (fish),100 g,97,Non Vegetarian,Fish,0.0,2.42,17.63
294,Chum Salmon,100 g,120,Non Vegetarian,Fish,0.0,0.84,20.14
295,Dried And Salted Atlantic Cod,1 piece (13.5 cm x 4 cm x 1.5 cm),232,Non Vegetarian,Fish,0.0,1.9,50.26
296,Smoked Salmon,100 g,117,Non Vegetarian,Fish,0.0,4.32,18.28
297,Ocean Pout (fish),1/2 fillet,139,Non Vegetarian,Fish,0.0,0.56,29.29
298,Canned Salmon,100 g,144,Non Vegetarian,Fish,0.0,6.28,20.57
299,Baked Or Grilled Haddock,1 fillet (17 cm x 10 cm x 1 cm),197,Non Vegetarian,Fish,0.74,5.71,34.0
300,Spot (fish),1 fillet,79,Non Vegetarian,Fish,0.0,0.93,11.85
301,Catfish,100 g,240,Non Vegetarian,Fish,8.54,14.53,17.57
302,Atlantic Wolfish,100 g,96,Non Vegetarian,Fish,0.0,0.36,17.5
303,Baked Or Grilled Flounder,1 fillet (16 cm x 9 cm x 2 cm),173,Non Vegetarian,Fish,0.53,5.51,28.6
304,Sablefish,1/2 fillet,376,Non Vegetarian,Fish,0.0,6.18,25.88
305,Pickled Atlantic Herring,100 g,262,Non Vegetarian,Fish,9.64,18.0,14.19
306,Cream Style Salmon Soup,1 cup,258,Non Vegetarian,Fish,6.4,12.62,27.95
307,Dolphinfish,1 fillet,173,Non Vegetarian,Fish,0.0,0.38,37.74
308,Sturgeon (fish) (mixed Species),100 g,105,Non Vegetarian,Fish,0.0,4.04,16.14
309,Smoked Fish,1 cup of flaked,167,Non Vegetarian,Fish,0.0,6.45,25.49
310,Milkfish,100 g,148,Non Vegetarian,Fish,0.0,1.66,20.53
311,King Mackerel,100 g,105,Non Vegetarian,Fish,0.0,0.36,20.28
312,Chinook Salmon,1/2 fillet,354,Non Vegetarian,Fish,0.0,20.65,39.46
313,Trout (mixed Species),1 fillet,117,Non Vegetarian,Fish,0.0,5.22,16.41
314,Perch Fish (mixed Species),100 g,91,Non Vegetarian,Fish,0.0,0.92,19.39
315,Pacific Rockfish (mixed Species),1 fillet,180,Non Vegetarian,Fish,0.0,3.0,35.81
316,Channel Catfish (farmed),1 fillet,215,Non Vegetarian,Fish,0.0,12.07,24.72
317,Rainbow Trout (farmed),1 fillet,109,Non Vegetarian,Fish,0.0,4.27,16.49
318,Fried Battered Salmon,1 cup of flaked,309,Non Vegetarian,Fish,9.13,18.4,25.27
319,Canned Fish,"1 cup of drained, flaked",175,Non Vegetarian,Fish,0.0,3.49,33.63
320,Atlantic Salmon (farmed),100 g,183,Non Vegetarian,Fish,0.0,2.18,19.9
321,Gefilte Fish,1 piece with broth,77,Non Vegetarian,Fish,0.7,2.58,11.91
322,Spanish Mackerel,1 fillet,260,Non Vegetarian,Fish,0.0,11.78,36.07
323,Atlantic Pollock (fish),1/2 fillet,178,Non Vegetarian,Fish,0.0,1.89,37.52
324,Seatrout (mixed Species),100 g,104,Non Vegetarian,Fish,0.0,1.01,16.74
325,Sabudana Khichdi,100 g,199,Vegetarian,Khichdi,30.19,7.91,2.72
326,Khichdi,1 cup of cooked,175,Vegetarian,Khichdi,34.28,1.78,6.12
327,Minced Lamb Or Patty,100 g,281,Non Vegetarian,Mutton,0.0,19.49,24.54
328,Mutton Chop,"1 small (112 g, with bone, raw) (yield after cooking, bone removed)",226,Non Vegetarian,Mutton,0.0,17.55,15.86
329,Lamb Shoulder Chop (lean And Fat Eaten),"1 small (155 g, with bone, raw) (yield after cooking, bone removed)",274,Non Vegetarian,Mutton,0.0,19.8,22.32
330,Mutton,100 g,292,Non Vegetarian,Mutton,0.0,20.77,24.32
331,Lamb Or Mutton Loaf,1 small or thin slice,154,Non Vegetarian,Mutton,7.06,8.77,11.46
332,Mutton Shoulder Chop,"1 small (155 g, with bone, raw) (yield after cooking, bone removed)",274,Non Vegetarian,Mutton,0.0,19.8,22.32
333,Lamb Or Mutton Goulash,1 cup,311,Non Vegetarian,Mutton,8.37,15.84,32.52
334,Lamb Curry,1 cup,257,Non Vegetarian,Mutton,3.71,13.83,28.23
335,Lamb Hocks,100 g,241,Non Vegetarian,Mutton,0.0,13.35,28.13
336,Lamb Ribs,"1 rib (yield after cooking, bone removed)",165,Non Vegetarian,Mutton,0.0,13.56,10.14
337,Lamb Or Mutton Stew With Potatoes And Vegetables In Gravy,1 cup,249,Non Vegetarian,Mutton,27.06,5.8,22.13
338,Button Mushroom,100 g,22,Non Vegetarian,Mutton,3.28,0.34,3.09
339,Lamb Roast (lean Only Eaten),100 g,197,Non Vegetarian,Mutton,0.0,9.22,26.51
340,Mutton Chop (lean And Fat Eaten),"1 small (112 g, with bone, raw) (yield after cooking, bone removed)",226,Non Vegetarian,Mutton,0.0,17.55,15.86
341,White Button Mushrooms,100 g,22,Non Vegetarian,Mutton,3.3,0.2,3.1
342,"Lamb Or Mutton Stew With Potatoes And Vegetables In Tomato Based Sauce (including Carrots, Broccoli, And/or Dark Green Leafy)",1 cup,249,Non Vegetarian,Mutton,30.49,4.76,20.99
343,Lamb Or Mutton Stew With Vegetables In Gravy,1 cup,285,Non Vegetarian,Mutton,11.74,10.58,34.17
344,"Lamb Or Mutton Stew With Vegetables In Gravy (including Carrots, Broccoli, And/or Dark Green Leafy, No Potatoes)",1 cup,302,Non Vegetarian,Mutton,16.1,10.53,34.47
345,"Lamb Or Mutton, Rice And Vegetables In Gravy (mixture)",1 cup,267,Non Vegetarian,Mutton,35.13,6.27,17.54
346,Button Mushrooms,100 g,24,Non Vegetarian,Mutton,1.8,0.3,2.6
347,Lamb Or Mutton With Gravy (mixture),1 cup,320,Non Vegetarian,Mutton,5.1,13.18,42.99
348,Lamb Or Mutton And Potatoes With Gravy (mixture),1 cup,244,Non Vegetarian,Mutton,25.6,8.04,17.19
349,"Lamb Or Mutton, Rice And Vegetables In Gravy (including Carrots, Broccoli, And/or Dark Green Leafy)",1 cup,255,Non Vegetarian,Mutton,21.27,9.98,18.5
350,Lamb Roast (lean And Fat Eaten),100 g,266,Non Vegetarian,Mutton,0.0,18.15,23.93
351,Lamb Loin Chop,"1 small (112 g, with bone, raw) (yield after cooking, bone removed)",222,Non Vegetarian,Mutton,0.0,16.39,17.42
352,Lamb Or Mutton And Potatoes With Tomato Based Sauce (mixture),1 serving (252 g),262,Non Vegetarian,Mutton,21.5,10.18,20.69
353,Lamb Loin Chop (lean Only Eaten),"1 small (112 g, with bone, raw) (yield after cooking, bone and fat removed)",107,Non Vegetarian,Mutton,0.0,4.82,14.87
354,Lamb Shoulder,100 g,275,Non Vegetarian,Mutton,0.0,19.89,22.42
355,"Lamb Or Mutton, Rice And Vegetables In Tomato Based Sauce (including Carrots, Broccoli, And/or Dark Green Leafy, Mixture)",1 cup,247,Non Vegetarian,Mutton,33.24,5.72,15.37
356,Mutton Style Curry Pie,1 pie (175 g),445,Non Vegetarian,Mutton,44.8,23.5,11.7
357,Lamb Roast,1 thin slice (approx 7.5 cm dia x 0.3 cm),37,Non Vegetarian,Mutton,0.0,2.54,3.35
358,Lamb Or Mutton Stew With Potatoes And Vegetables In Tomato Based Sauce,1 cup,239,Non Vegetarian,Mutton,28.07,4.81,20.87
359,"Lamb Or Mutton Stew With Potatoes And Vegetables In Gravy (including Carrots, Broccoli, And/or Dark Green Leafy)",1 cup,260,Non Vegetarian,Mutton,29.46,5.75,22.23
360,Bolognese,1 cup,281,Non Vegetarian,Mutton,20.94,16.09,16.28
361,Lamb Ribs (lean Only Eaten),"1 rib (yield after cooking, bone and fat removed)",59,Non Vegetarian,Mutton,0.0,3.22,6.9
362,Lamb Loin Chop (lean And Fat Eaten),"1 small (112 g, with bone, raw) (yield after cooking, bone removed)",222,Non Vegetarian,Mutton,0.0,16.39,17.42
363,Lamb Shoulder Chop (lean Only Eaten),"1 small (156 g, with bone, raw) (yield after cooking, bone and fat removed)",145,Non Vegetarian,Mutton,0.0,7.69,17.81
364,Mutton Biryani,1 cup,352,Non Vegetarian,Mutton,48.16,10.85,14.59
365,Potato & Pea Curry With Garlic Naan,100 g,123,Vegetarian,Naan,15.0,5.2,3.5
366,Cheese Naan,100 g,294,Vegetarian,Naan,35.51,12.3,9.94
367,Phulka,1 medium (18 cm),103,Vegetarian,Naan,21.7,0.67,3.76
368,Rumali Roti,1 piece,153,Vegetarian,Naan,26.07,3.42,4.07
369,Indian Flatbread Naan,1 piece (1/4 25.5 cm dia),137,Vegetarian,Naan,18.8,5.1,3.74
370,Naan Bread,1 naan (100 g),309,Vegetarian,Naan,49.0,7.8,8.5
371,Low Carb Persian Naan,100 g,313,Vegetarian,Naan,10.0,17.0,29.7
372,Paneer Roll,1 piece,225,Vegetarian,Paneer,34.66,6.64,7.22
373,Shahi Paneer,1 cup,313,Vegetarian,Paneer,14.36,22.65,15.25
374,Paneer Sandwich,1 sandwich,342,Vegetarian,Paneer,45.79,13.28,12.6
375,Paneer Bhurji,1 cup,276,Vegetarian,Paneer,18.51,16.26,17.18
376,Mutter Paneer,1 cup,350,Vegetarian,Paneer,24.01,20.5,19.26
377,Paneer,1 serving (30 g),88,Vegetarian,Paneer,0.89,7.54,4.2
378,Palak Paneer,1 cup,405,Vegetarian,Paneer,14.56,31.63,18.93
379,Paneer Paratha,1 paratha,265,Vegetarian,Paneer,27.78,12.96,9.04
380,Paneer Butter Masala,1 serving (200 g),423,Vegetarian,Paneer,17.66,33.31,15.36
381,Paneer Dosa,1 piece,174,Vegetarian,Paneer,28.43,4.61,7.07
382,Paneer Tikka,1 piece,40,Vegetarian,Paneer,3.1,1.46,3.94
383,Chilli Paneer,1 cup,294,Vegetarian,Paneer,15.06,20.29,15.1
384,Kadai Paneer,1 cup,280,Vegetarian,Paneer,15.21,20.29,12.37
385,Plain Paratha,1 paratha,260,Vegetarian,Paratha,38.94,8.99,5.16
386,Puff Paratha Spring Onion,1 serving (80 g),223,Vegetarian,Paratha,30.0,7.5,5.2
387,Puff Paratha,1 serving (80 g),224,Vegetarian,Paratha,16.0,11.0,6.1
388,Dal Paratha,1 piece,151,Vegetarian,Paratha,21.41,5.53,3.54
389,Aloo Paratha,1 paratha,330,Vegetarian,Paratha,47.72,13.45,5.94
390,Gobi Paratha,1 piece,318,Vegetarian,Paratha,42.83,14.25,6.26
391,Mooli Paratha,1 piece,315,Vegetarian,Paratha,42.53,14.15,5.75
392,Sattu Paratha,1 paratha,395,Vegetarian,Paratha,68.48,8.56,12.26
393,Onion Paratha,1 piece,255,Vegetarian,Paratha,38.52,8.92,4.96
394,Egg Paratha,1 piece,280,Vegetarian,Paratha,44.24,6.11,11.28
395,Laccha Paratha,1 piece,254,Vegetarian,Paratha,37.39,9.65,4.19
396,Bhakri,1 piece,177,Vegetarian,Paratha,25.39,6.99,4.32
397,Matar Paratha,1 piece,165,Vegetarian,Paratha,27.45,3.75,6.7
398,Methi Paratha,1 paratha,280,Vegetarian,Paratha,39.36,11.15,8.55
399,Palak Paratha,1 piece,141,Vegetarian,Paratha,16.45,7.49,2.32
400,Paneer Paratha,1 paratha,265,Vegetarian,Paratha,27.78,12.96,9.04
401,Rumali Roti,1 piece,153,Vegetarian,Roti,26.07,3.42,4.07
402,Whole Wheat Bread,1 regular slice,67,Vegetarian,Roti,12.26,1.07,2.37
403,Chapatti Roti,1 roti (40 g),115,Vegetarian,Roti,18.0,4.0,3.0
404,Jowar Roti,100 g,348,Vegetarian,Roti,72.88,2.31,10.68
405,Plain White Roti,1 serving (96 g),242,Vegetarian,Roti,37.0,6.8,6.8
406,Butter Roti,1 roti (75 g),271,Vegetarian,Roti,37.0,10.6,5.6
407,Tandoori Roti,1 piece,155,Vegetarian,Roti,32.19,0.99,6.08
408,Makki Ki Roti,1 piece,90,Vegetarian,Roti,13.82,3.38,1.7
409,Missi Roti,1 piece,247,Vegetarian,Roti,46.07,3.65,10.57
410,Bajra Roti,100 g,361,Vegetarian,Roti,66.8,5.01,11.92
411,Whole Wheat Tortilla,1 tortilla,92,Vegetarian,Roti,19.54,0.45,3.36
412,Whole Wheat Roti,1 serving (96 g),246,Vegetarian,Roti,35.0,8.4,6.5
413,Roti,1 medium (18 cm),106,Vegetarian,Roti,22.32,0.52,3.84
414,Wholemeal Bread,1 slice,128,Vegetarian,Roti,23.64,2.48,3.86
415,Aloo Sabzi,100 g,96,Vegetarian,Sabzi,17.52,2.89,2.34
416,Rajma Chawal,1 cup,316,Vegetarian,Sabzi,50.91,7.93,10.53
417,Gatte Ki Sabzi,1 cup,275,Vegetarian,Sabzi,36.55,8.79,13.49
418,Rajma,100 g,165,Vegetarian,Sabzi,19.77,7.08,7.04
419,Baingan Bharta,1 serving (120 g),116,Vegetarian,Sabzi,15.09,6.33,2.03
420,Bhindi Fry,1 cup,196,Vegetarian,Sabzi,12.73,16.03,3.53
421,Bhindi,100 g,31,Vegetarian,Sabzi,7.03,0.1,2.0
422,Arbi Sabzi,100 g,110,Vegetarian,Sabzi,21.13,2.94,2.13
423,Roasted Chana,100 g,355,Vegetarian,Sabzi,58.58,6.26,18.64
424,Chana Dal,100 g,160,Vegetarian,Sabzi,26.49,2.14,9.98
425,Lauki Sabzi,1 cup,149,Vegetarian,Sabzi,18.41,8.47,4.06
426,Aloo Baingan,1 cup,190,Vegetarian,Sabzi,25.41,10.2,4.41
427,Chole,100 g,130,Vegetarian,Sabzi,17.37,5.37,3.61
428,Bhindi Masala,1 serving (200 g),225,Vegetarian,Sabzi,27.02,12.79,5.99
429,Chole Bhature,1 plate,426,Vegetarian,Sabzi,51.84,20.8,10.52
430,Tinda Sabzi,100 g,85,Vegetarian,Sabzi,15.35,3.26,1.78
431,Kala Chana,1 serving (110 g),180,Vegetarian,Sabzi,29.47,4.05,8.65
432,Japanese Tea Biscuit,1 medium,19,Vegetarian,Tea,4.64,0.02,0.18
433,Tropical Mango,100 ml,18,Vegetarian,Tea,4.0,0.1,0.5
434,Herbal Tea,1 mug (240 ml),2,Vegetarian,Tea,0.47,0.0,0.0
435,Tea Presweetened With Sugar,1 mug (240 ml),47,Vegetarian,Tea,12.51,0.0,0.02
436,Tea Presweetened With Low Calorie Sweetener,1 teacup (180 ml),5,Vegetarian,Tea,1.25,0.0,0.04
437,Tea With Milk And Sugar,1 teacup (180 ml),30,Vegetarian,Tea,4.97,0.82,0.93
438,Decaffeinated Tea Presweetened With Sugar,1 mug (240 ml),47,Vegetarian,Tea,12.56,0.0,0.0
439,Chamomile Tea,1 mug (240 ml),2,Vegetarian,Tea,0.47,0.0,0.0
440,"Herbal Tea (other Than Chamomile, Brewed)",1 cup (240 ml),2,Vegetarian,Tea,0.47,0.0,0.0
441,Iced Tea,1 cup (240 ml),90,Vegetarian,Tea,23.44,0.0,0.02
442,Tea (brewed),1 cup (240 ml),2,Vegetarian,Tea,0.71,0.0,0.0
443,Tea With Milk,1 teacup (180 ml),17,Vegetarian,Tea,1.51,0.84,0.95
444,Black Tea,1 mug (240 ml),2,Vegetarian,Tea,0.47,0.0,0.0
445,Raspberry,100 ml,31,Vegetarian,Tea,7.5,0.0,0.0
446,Tea Unsweetened,1 mug (240 ml),2,Vegetarian,Tea,0.76,0.0,0.02
447,Ginger Tea,1 teacup (180 ml),5,Vegetarian,Tea,1.16,0.04,0.07
448,Long Island Iced Tea,1 drink (150 ml),138,Vegetarian,Tea,9.87,0.06,0.12
449,Instant Tea Presweetened (made From Powdered),1 mug (240 ml),83,Vegetarian,Tea,20.5,0.14,0.02
450,"Tea (instant Powder, Unsweetened, Prepared)",1 cup (240 ml),2,Vegetarian,Tea,0.4,0.0,0.14
451,Leaf Tea Unsweetened,1 mug (240 ml),2,Vegetarian,Tea,0.71,0.0,0.0
452,Instant Honeyed Ginger Tea,1 packet (18 g),48,Vegetarian,Tea,12.0,0.0,0.0
453,Tea With Skimmed Milk,1 teacup (180 ml),10,Vegetarian,Tea,1.6,0.04,0.99
454,Chai,1 teacup (180 ml),54,Vegetarian,Tea,10.9,0.94,0.94
455,Sugar Free Ice Tea,100 ml,5,Vegetarian,Tea,1.0,0.0,0.5
456,Herbal Tea Presweetened With Low Calorie Sweetener,1 mug (240 ml),7,Vegetarian,Tea,1.35,0.0,0.02
457,"Tea (lemon Flavoured, Instant Powder, With Sodium Saccharin)",1 tsp,4,Vegetarian,Tea,1.02,0.01,0.04
458,Earl Grey Tea,1 teacup (180 ml),1,Vegetarian,Tea,0.36,0.0,0.0
459,"Tea (lemon Flavoured, Without Added Ascorbic Acid, Instant Powder, Decaffeinated, Sweetened With Sugar)",1 serving (3 heaping tsp),89,Vegetarian,Tea,22.67,0.17,0.03
460,Chai Tea Latte,1 serving (27 g),80,Vegetarian,Tea,14.3,2.3,1.3
461,Tea With Lemon,1 teacup (180 ml),3,Vegetarian,Tea,0.82,0.0,0.18
462,Instant Tea Presweetened With Sugar (made From Powdered),1 mug (240 ml),24,Vegetarian,Tea,5.95,0.0,0.19
463,"Tea (lemon Flavoured, Instant Powder, With Sodium Saccharin, Prepated)",1 cup (240 ml),5,Vegetarian,Tea,1.04,0.0,0.05
464,Tea,1 serving (250 ml),2,Vegetarian,Tea,0.0,0.0,0.0
465,Whole Evaporated Milk (used In Coffee Or Tea),1 cup,338,Vegetarian,Tea,25.3,19.05,17.16
466,Tea With Semi Skimmed Milk,1 teacup (180 ml),14,Vegetarian,Tea,1.57,0.44,0.97
467,Iced Tea Lemon & Rooibos,1 cup (250 ml),75,Vegetarian,Tea,19.3,28.0,0.0
468,Leaf Tea Unsweetened Decaffeinated,1 teacup (180 ml),2,Vegetarian,Tea,0.53,0.0,0.0
469,Teh Tarik,1 cup,124,Vegetarian,Tea,21.22,3.28,2.98
470,"Tea (brewed, With Distilled Water)",100 ml,1,Vegetarian,Tea,0.3,0.0,0.0
471,Green Tea Ice Cream,1 cup,276,Vegetarian,Tea,34.86,13.96,4.9
472,Presweetened Leaf Tea With Sugar Decaffeinated,1 teacup (180 ml),36,Vegetarian,Tea,9.43,0.0,0.0
473,"Tea (lemon Flavoured, Instant Powder, Unsweetened)",1 tsp of rounded,5,Vegetarian,Tea,1.1,0.01,0.1
474,Rehab Green Tea,1 can (500 ml),49,Vegetarian,Tea,12.0,0.0,0.5
475,Bubble Tea,1 glass (300 ml),271,Vegetarian,Tea,58.83,3.06,3.07
476,"Tea (lemon Flavoured, Without Added Ascorbic Acid, Instant Powder, Sweetened With Sugar)",1 cup (240 ml),91,Vegetarian,Tea,22.3,0.16,0.03
477,Rooibos Ice Tea,100 ml,25,Vegetarian,Tea,6.0,0.0,0.0
478,Unsweetened Iced Tea,1 cup (240 ml),2,Vegetarian,Tea,0.67,0.0,0.02
479,Creamy Tea Latte Chai Flavour,1 serving (22 g),94,Vegetarian,Tea,17.0,2.3,1.9
480,Russian Tea,1 teacup (180 ml),103,Vegetarian,Tea,26.49,0.02,0.09
481,Red Tea,1 tea bag (2 g),7,Vegetarian,Tea,1.0,0.0,0.2
482,Instant Tea Unsweetened (made From Powdered),1 mug (240 ml),5,Vegetarian,Tea,1.09,0.0,0.09
483,Rooibos Tea,1 serving (200 ml),0,Vegetarian,Tea,0.0,0.0,0.0
484,Presweetened Tea,1 teacup (180 ml),36,Vegetarian,Tea,9.47,0.0,0.02
485,Herbal Tea Presweetened,1 mug (240 ml),47,Vegetarian,Tea,12.32,0.0,0.0
486,Rooibos Cappuccino,1 sachet (15 g),65,Vegetarian,Tea,11.6,0.3,0.4
487,Leaf Tea Presweetened,1 mug (240 ml),47,Vegetarian,Tea,12.56,0.0,0.0
488,Presweetened Decaffeinated Tea,1 teacup (180 ml),36,Vegetarian,Tea,9.43,0.0,0.0
489,Ice Tea Peach,1 bottle (500 ml),170,Vegetarian,Tea,40.0,0.0,0.0
490,Herbal Tea Presweetened With Sugar,1 mug (240 ml),47,Vegetarian,Tea,12.32,0.0,0.0
491,Clear Green Tea Mint,100 ml,0,Vegetarian,Tea,0.0,0.0,0.1
492,Instant Tea Dry Sweetened Powdered,"1 tsp, dry",4,Vegetarian,Tea,0.94,0.0,0.03
493,Green Tea,1 cup (250 ml),0,Vegetarian,Tea,0.0,0.0,0.0
494,Green Tea Ice Tea,1 can (330 ml),96,Vegetarian,Tea,22.77,0.0,0.0
495,Presweetened Leaf Tea With Low Calorie Sweetener,1 teacup (180 ml),5,Vegetarian,Tea,1.19,0.0,0.02
496,"Tea (instant Powder, Unsweetened)",1 tsp,2,Vegetarian,Tea,0.41,0.0,0.14
